種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
中古マンション等,明石町,7400000.0,1627999.0,15.0,493333.0,昭和60年,25.0,1985.0,2010
中古マンション等,明石町,51000000.0,2589230.0,65.0,784615.0,平成16年,6.0,2004.0,2010
中古マンション等,明石町,8500000.0,1402500.0,20.0,425000.0,昭和53年,32.0,1978.0,2010
中古マンション等,明石町,11000000.0,1451999.0,25.0,440000.0,昭和60年,25.0,1985.0,2010
中古マンション等,明石町,8400000.0,1386000.0,20.0,420000.0,昭和53年,32.0,1978.0,2010
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成15年,7.0,2003.0,2010
中古マンション等,入船,19000000.0,3135000.0,20.0,950000.0,平成14年,8.0,2002.0,2010
中古マンション等,入船,6800000.0,1122000.0,20.0,340000.0,昭和57年,28.0,1982.0,2010
中古マンション等,入船,25000000.0,3299999.0,25.0,1000000.0,平成12年,10.0,2000.0,2010
中古マンション等,入船,22000000.0,3630000.0,20.0,1100000.0,平成16年,6.0,2004.0,2010
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成12年,10.0,2000.0,2010
中古マンション等,入船,21000000.0,2771999.0,25.0,840000.0,平成12年,10.0,2000.0,2010
中古マンション等,入船,22000000.0,2903999.0,25.0,880000.0,平成12年,10.0,2000.0,2010
中古マンション等,入船,19000000.0,3135000.0,20.0,950000.0,平成12年,10.0,2000.0,2010
中古マンション等,入船,20000000.0,2639999.0,25.0,800000.0,平成13年,9.0,2001.0,2010
中古マンション等,入船,29000000.0,2392500.0,40.0,725000.0,平成15年,7.0,2003.0,2010
中古マンション等,勝どき,72000000.0,2970000.0,80.0,900000.0,平成20年,2.0,2008.0,2010
中古マンション等,勝どき,33000000.0,2177999.0,50.0,660000.0,昭和59年,26.0,1984.0,2010
中古マンション等,勝どき,38000000.0,2507999.0,50.0,760000.0,平成12年,10.0,2000.0,2010
中古マンション等,勝どき,61000000.0,2875714.0,70.0,871428.0,平成20年,2.0,2008.0,2010
中古マンション等,勝どき,72000000.0,2970000.0,80.0,900000.0,平成20年,2.0,2008.0,2010
中古マンション等,勝どき,68000000.0,2991999.0,75.0,906666.0,平成20年,2.0,2008.0,2010
中古マンション等,勝どき,40000000.0,2199999.0,60.0,666666.0,平成12年,10.0,2000.0,2010
中古マンション等,勝どき,100000000.0,2999999.0,110.0,909090.0,平成20年,2.0,2008.0,2010
中古マンション等,勝どき,60000000.0,2828571.0,70.0,857142.0,平成20年,2.0,2008.0,2010
中古マンション等,勝どき,46000000.0,2335384.0,65.0,707692.0,平成19年,3.0,2007.0,2010
中古マンション等,勝どき,98000000.0,2587199.0,125.0,784000.0,平成20年,2.0,2008.0,2010
中古マンション等,勝どき,63000000.0,3779999.0,55.0,1145454.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,56000000.0,3359999.0,55.0,1018181.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,57000000.0,3419999.0,55.0,1036363.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,59000000.0,3539999.0,55.0,1072727.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,55000000.0,3629999.0,50.0,1100000.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,72000000.0,3655384.0,65.0,1107692.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,71000000.0,4259999.0,55.0,1290909.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,59000000.0,3244999.0,60.0,983333.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,65000000.0,3899999.0,55.0,1181818.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,58000000.0,3827999.0,50.0,1160000.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,72000000.0,3394285.0,70.0,1028571.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,78000000.0,3431999.0,75.0,1040000.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,58000000.0,3479999.0,55.0,1054545.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,62000000.0,3719999.0,55.0,1127272.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,78000000.0,3959999.0,65.0,1200000.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,55000000.0,3299999.0,55.0,1000000.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,70000000.0,3553846.0,65.0,1076923.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,66000000.0,3959999.0,55.0,1200000.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,52000000.0,2451428.0,70.0,742857.0,平成17年,5.0,2005.0,2010
中古マンション等,勝どき,81000000.0,3818571.0,70.0,1157142.0,平成22年,0.0,2010.0,2010
中古マンション等,勝どき,30000000.0,2828571.0,35.0,857142.0,平成19年,3.0,2007.0,2010
中古マンション等,勝どき,71000000.0,2603333.0,90.0,788888.0,平成20年,2.0,2008.0,2010
中古マンション等,勝どき,44000000.0,2233846.0,65.0,676923.0,平成15年,7.0,2003.0,2010
中古マンション等,勝どき,8000000.0,1320000.0,20.0,400000.0,昭和50年,35.0,1975.0,2010
中古マンション等,勝どき,58000000.0,2734285.0,70.0,828571.0,平成20年,2.0,2008.0,2010
中古マンション等,勝どき,67000000.0,2763750.0,80.0,837500.0,平成20年,2.0,2008.0,2010
中古マンション等,勝どき,7200000.0,950399.0,25.0,288000.0,昭和55年,30.0,1980.0,2010
中古マンション等,勝どき,65000000.0,2859999.0,75.0,866666.0,平成19年,3.0,2007.0,2010
中古マンション等,勝どき,80000000.0,2933333.0,90.0,888888.0,平成20年,2.0,2008.0,2010
中古マンション等,勝どき,85000000.0,2549999.0,110.0,772727.0,平成12年,10.0,2000.0,2010
中古マンション等,勝どき,73000000.0,3706153.0,65.0,1123076.0,平成22年,0.0,2010.0,2010
