種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
中古マンション等,明石町,36000000.0,2159999.0,55.0,654545.0,平成10年,10.0,1998.0,2008
中古マンション等,明石町,42000000.0,2519999.0,55.0,763636.0,平成10年,10.0,1998.0,2008
中古マンション等,入船,16000000.0,2640000.0,20.0,800000.0,平成14年,6.0,2002.0,2008
中古マンション等,入船,17000000.0,2805000.0,20.0,850000.0,平成15年,5.0,2003.0,2008
中古マンション等,入船,12000000.0,1583999.0,25.0,480000.0,昭和60年,23.0,1985.0,2008
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成15年,5.0,2003.0,2008
中古マンション等,入船,20000000.0,4399999.0,15.0,1333333.0,平成12年,8.0,2000.0,2008
中古マンション等,入船,20000000.0,4399999.0,15.0,1333333.0,平成12年,8.0,2000.0,2008
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成12年,8.0,2000.0,2008
中古マンション等,入船,19000000.0,2507999.0,25.0,760000.0,平成12年,8.0,2000.0,2008
中古マンション等,入船,27000000.0,2969999.0,30.0,900000.0,平成12年,8.0,2000.0,2008
中古マンション等,入船,51000000.0,2243999.0,75.0,680000.0,平成11年,9.0,1999.0,2008
中古マンション等,入船,60000000.0,2639999.0,75.0,800000.0,平成11年,9.0,1999.0,2008
中古マンション等,入船,22000000.0,3630000.0,20.0,1100000.0,平成12年,8.0,2000.0,2008
中古マンション等,入船,27000000.0,3563999.0,25.0,1080000.0,平成12年,8.0,2000.0,2008
中古マンション等,勝どき,15000000.0,1237500.0,40.0,375000.0,昭和55年,28.0,1980.0,2008
中古マンション等,勝どき,50000000.0,2538461.0,65.0,769230.0,平成11年,9.0,1999.0,2008
中古マンション等,勝どき,19000000.0,1567500.0,40.0,475000.0,昭和48年,35.0,1973.0,2008
中古マンション等,勝どき,20000000.0,1199999.0,55.0,363636.0,昭和47年,36.0,1972.0,2008
中古マンション等,勝どき,49000000.0,2694999.0,60.0,816666.0,平成20年,0.0,2008.0,2008
