種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
中古マンション等,明石町,18000000.0,1485000.0,40.0,450000.0,昭和60年,21.0,1985.0,2006
中古マンション等,入船,36000000.0,2970000.0,40.0,900000.0,平成18年,0.0,2006.0,2006
中古マンション等,入船,19000000.0,3135000.0,20.0,950000.0,平成15年,3.0,2003.0,2006
中古マンション等,入船,21000000.0,1539999.0,45.0,466666.0,昭和57年,24.0,1982.0,2006
中古マンション等,入船,19000000.0,3135000.0,20.0,950000.0,平成12年,6.0,2000.0,2006
中古マンション等,入船,39000000.0,2144999.0,60.0,650000.0,平成16年,2.0,2004.0,2006
中古マンション等,入船,30000000.0,1799999.0,55.0,545454.0,平成12年,6.0,2000.0,2006
中古マンション等,入船,36000000.0,2639999.0,45.0,800000.0,平成18年,0.0,2006.0,2006
中古マンション等,勝どき,9500000.0,895714.0,35.0,271428.0,昭和47年,34.0,1972.0,2006
中古マンション等,勝どき,950000.0,78375.0,40.0,23750.0,昭和47年,34.0,1972.0,2006
中古マンション等,勝どき,13000000.0,1225714.0,35.0,371428.0,昭和48年,33.0,1973.0,2006
中古マンション等,勝どき,43000000.0,2183076.0,65.0,661538.0,平成15年,3.0,2003.0,2006
中古マンション等,勝どき,28000000.0,1847999.0,50.0,560000.0,昭和59年,22.0,1984.0,2006
中古マンション等,勝どき,32000000.0,2346666.0,45.0,711111.0,平成11年,7.0,1999.0,2006
中古マンション等,勝どき,11000000.0,1451999.0,25.0,440000.0,昭和50年,31.0,1975.0,2006
中古マンション等,勝どき,21000000.0,1385999.0,50.0,420000.0,昭和59年,22.0,1984.0,2006
中古マンション等,勝どき,11000000.0,1209999.0,30.0,366666.0,昭和48年,33.0,1973.0,2006
中古マンション等,勝どき,12000000.0,791999.0,50.0,240000.0,昭和50年,31.0,1975.0,2006
中古マンション等,勝どき,29000000.0,1472307.0,65.0,446153.0,昭和50年,31.0,1975.0,2006
中古マンション等,勝どき,27000000.0,2227500.0,40.0,675000.0,平成12年,6.0,2000.0,2006
中古マンション等,勝どき,7800000.0,1715999.0,15.0,520000.0,昭和50年,31.0,1975.0,2006
中古マンション等,勝どき,47000000.0,2584999.0,60.0,783333.0,平成12年,6.0,2000.0,2006
