種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
中古マンション等,明石町,19000000.0,3135000.0,20.0,950000.0,平成16年,3.0,2004.0,2007
中古マンション等,明石町,19000000.0,1567500.0,40.0,475000.0,昭和60年,22.0,1985.0,2007
中古マンション等,明石町,9700000.0,1600500.0,20.0,485000.0,昭和53年,29.0,1978.0,2007
中古マンション等,明石町,8000000.0,1320000.0,20.0,400000.0,昭和53年,29.0,1978.0,2007
中古マンション等,明石町,59000000.0,2995384.0,65.0,907692.0,平成10年,9.0,1998.0,2007
中古マンション等,明石町,50000000.0,2538461.0,65.0,769230.0,平成16年,3.0,2004.0,2007
中古マンション等,明石町,7700000.0,1270500.0,20.0,385000.0,昭和53年,29.0,1978.0,2007
中古マンション等,入船,18000000.0,2970000.0,20.0,900000.0,平成15年,4.0,2003.0,2007
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成14年,5.0,2002.0,2007
中古マンション等,入船,23000000.0,3035999.0,25.0,920000.0,平成10年,9.0,1998.0,2007
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成12年,7.0,2000.0,2007
中古マンション等,入船,20000000.0,2639999.0,25.0,800000.0,平成12年,7.0,2000.0,2007
中古マンション等,入船,19000000.0,3135000.0,20.0,950000.0,平成12年,7.0,2000.0,2007
中古マンション等,入船,20000000.0,3300000.0,20.0,1000000.0,平成12年,7.0,2000.0,2007
中古マンション等,入船,20000000.0,3300000.0,20.0,1000000.0,平成12年,7.0,2000.0,2007
中古マンション等,勝どき,31000000.0,2045999.0,50.0,620000.0,昭和59年,23.0,1984.0,2007
中古マンション等,勝どき,7000000.0,1155000.0,20.0,350000.0,昭和50年,32.0,1975.0,2007
中古マンション等,勝どき,15000000.0,1649999.0,30.0,500000.0,昭和48年,34.0,1973.0,2007
中古マンション等,勝どき,73000000.0,3011250.0,80.0,912500.0,平成12年,7.0,2000.0,2007
中古マンション等,勝どき,7600000.0,1671999.0,15.0,506666.0,昭和49年,33.0,1974.0,2007
中古マンション等,勝どき,54000000.0,2741538.0,65.0,830769.0,平成12年,7.0,2000.0,2007
中古マンション等,勝どき,30000000.0,2475000.0,40.0,750000.0,昭和50年,32.0,1975.0,2007
中古マンション等,勝どき,23000000.0,3795000.0,20.0,1150000.0,平成14年,5.0,2002.0,2007
中古マンション等,勝どき,20000000.0,1199999.0,55.0,363636.0,昭和50年,32.0,1975.0,2007
中古マンション等,勝どき,53000000.0,2914999.0,60.0,883333.0,平成12年,7.0,2000.0,2007
中古マンション等,勝どき,9200000.0,1518000.0,20.0,460000.0,昭和50年,32.0,1975.0,2007
中古マンション等,勝どき,9000000.0,1979999.0,15.0,600000.0,昭和50年,32.0,1975.0,2007
中古マンション等,勝どき,11000000.0,1451999.0,25.0,440000.0,昭和64年,18.0,1989.0,2007
中古マンション等,勝どき,29000000.0,2392500.0,40.0,725000.0,平成10年,9.0,1998.0,2007
中古マンション等,勝どき,42000000.0,2309999.0,60.0,700000.0,平成15年,4.0,2003.0,2007
中古マンション等,勝どき,8000000.0,1759999.0,15.0,533333.0,昭和50年,32.0,1975.0,2007
中古マンション等,勝どき,8500000.0,1402500.0,20.0,425000.0,昭和46年,36.0,1971.0,2007
中古マンション等,勝どき,38000000.0,2279999.0,55.0,690909.0,平成16年,3.0,2004.0,2007
中古マンション等,勝どき,11000000.0,1209999.0,30.0,366666.0,昭和48年,34.0,1973.0,2007
中古マンション等,勝どき,91000000.0,2402399.0,125.0,728000.0,平成12年,7.0,2000.0,2007
中古マンション等,銀座,49000000.0,3593333.0,45.0,1088888.0,平成16年,3.0,2004.0,2007
中古マンション等,銀座,37000000.0,3488571.0,35.0,1057142.0,平成13年,6.0,2001.0,2007
中古マンション等,銀座,55000000.0,4033333.0,45.0,1222222.0,平成16年,3.0,2004.0,2007
中古マンション等,銀座,23000000.0,3795000.0,20.0,1150000.0,平成11年,8.0,1999.0,2007
中古マンション等,銀座,55000000.0,3629999.0,50.0,1100000.0,平成11年,8.0,1999.0,2007
中古マンション等,銀座,24000000.0,3960000.0,20.0,1200000.0,平成15年,4.0,2003.0,2007
中古マンション等,銀座,27000000.0,2969999.0,30.0,900000.0,平成15年,4.0,2003.0,2007
中古マンション等,銀座,19000000.0,3135000.0,20.0,950000.0,平成17年,2.0,2005.0,2007
中古マンション等,銀座,19000000.0,3135000.0,20.0,950000.0,平成15年,4.0,2003.0,2007
中古マンション等,銀座,32000000.0,4223999.0,25.0,1280000.0,平成16年,3.0,2004.0,2007
中古マンション等,銀座,19000000.0,3135000.0,20.0,950000.0,平成17年,2.0,2005.0,2007
中古マンション等,銀座,33000000.0,3629999.0,30.0,1100000.0,平成14年,5.0,2002.0,2007
中古マンション等,銀座,25000000.0,3299999.0,25.0,1000000.0,平成15年,4.0,2003.0,2007
中古マンション等,新川,17000000.0,2805000.0,20.0,850000.0,平成11年,8.0,1999.0,2007
中古マンション等,新川,17000000.0,2805000.0,20.0,850000.0,平成11年,8.0,1999.0,2007
中古マンション等,新川,73000000.0,2676666.0,90.0,811111.0,平成10年,9.0,1998.0,2007
中古マンション等,新川,19000000.0,3135000.0,20.0,950000.0,平成11年,8.0,1999.0,2007
中古マンション等,新川,59000000.0,2995384.0,65.0,907692.0,平成15年,4.0,2003.0,2007
中古マンション等,新川,56000000.0,2639999.0,70.0,800000.0,平成10年,9.0,1998.0,2007
中古マンション等,新川,23000000.0,3035999.0,25.0,920000.0,平成11年,8.0,1999.0,2007
