種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
中古マンション等,明石町,11000000.0,1451999.0,25.0,440000.0,昭和53年,31.0,1978.0,2009
中古マンション等,入船,8600000.0,945999.0,30.0,286666.0,昭和60年,24.0,1985.0,2009
中古マンション等,入船,19000000.0,4179999.0,15.0,1266666.0,平成14年,7.0,2002.0,2009
中古マンション等,入船,12000000.0,1980000.0,20.0,600000.0,平成3年,18.0,1991.0,2009
中古マンション等,入船,12000000.0,1980000.0,20.0,600000.0,平成3年,18.0,1991.0,2009
中古マンション等,入船,15000000.0,2475000.0,20.0,750000.0,平成10年,11.0,1998.0,2009
中古マンション等,入船,22000000.0,1815000.0,40.0,550000.0,昭和57年,27.0,1982.0,2009
中古マンション等,入船,47000000.0,2067999.0,75.0,626666.0,平成11年,10.0,1999.0,2009
中古マンション等,勝どき,7800000.0,1287000.0,20.0,390000.0,昭和50年,34.0,1975.0,2009
中古マンション等,勝どき,22000000.0,1815000.0,40.0,550000.0,昭和50年,34.0,1975.0,2009
中古マンション等,勝どき,7500000.0,1237500.0,20.0,375000.0,昭和50年,34.0,1975.0,2009
中古マンション等,勝どき,80000000.0,3300000.0,80.0,1000000.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,13000000.0,2145000.0,20.0,650000.0,平成14年,7.0,2002.0,2009
中古マンション等,勝どき,86000000.0,3153333.0,90.0,955555.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,40000000.0,2399999.0,55.0,727272.0,平成12年,9.0,2000.0,2009
中古マンション等,勝どき,110000000.0,2903999.0,125.0,880000.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,64000000.0,3017142.0,70.0,914285.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,24000000.0,2639999.0,30.0,800000.0,平成11年,10.0,1999.0,2009
中古マンション等,勝どき,51000000.0,2404285.0,70.0,728571.0,平成19年,2.0,2007.0,2009
中古マンション等,勝どき,73000000.0,2834117.0,85.0,858823.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,60000000.0,2639999.0,75.0,800000.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,52000000.0,2639999.0,65.0,800000.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,20000000.0,1650000.0,40.0,500000.0,昭和47年,37.0,1972.0,2009
中古マンション等,勝どき,110000000.0,2903999.0,125.0,880000.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,42000000.0,2309999.0,60.0,700000.0,平成12年,9.0,2000.0,2009
中古マンション等,勝どき,32000000.0,2111999.0,50.0,640000.0,平成12年,9.0,2000.0,2009
中古マンション等,勝どき,42000000.0,2309999.0,60.0,700000.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,67000000.0,2763750.0,80.0,837500.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,64000000.0,2640000.0,80.0,800000.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,9400000.0,2067999.0,15.0,626666.0,昭和50年,34.0,1975.0,2009
中古マンション等,勝どき,38000000.0,2279999.0,55.0,690909.0,平成19年,2.0,2007.0,2009
中古マンション等,勝どき,68000000.0,2639999.0,85.0,800000.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,38000000.0,2279999.0,55.0,690909.0,平成12年,9.0,2000.0,2009
中古マンション等,勝どき,40000000.0,2399999.0,55.0,727272.0,平成12年,9.0,2000.0,2009
中古マンション等,勝どき,43000000.0,2183076.0,65.0,661538.0,平成13年,8.0,2001.0,2009
中古マンション等,勝どき,7000000.0,1155000.0,20.0,350000.0,昭和49年,35.0,1974.0,2009
中古マンション等,勝どき,54000000.0,2969999.0,60.0,900000.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,62000000.0,2727999.0,75.0,826666.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,9800000.0,1617000.0,20.0,490000.0,昭和56年,28.0,1981.0,2009
中古マンション等,勝どき,58000000.0,2126666.0,90.0,644444.0,平成12年,9.0,2000.0,2009
中古マンション等,勝どき,65000000.0,2523529.0,85.0,764705.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,7000000.0,1539999.0,15.0,466666.0,昭和49年,35.0,1974.0,2009
中古マンション等,勝どき,76000000.0,2950588.0,85.0,894117.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,68000000.0,2493333.0,90.0,755555.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,48000000.0,2262857.0,70.0,685714.0,平成14年,7.0,2002.0,2009
中古マンション等,勝どき,4000000.0,330000.0,40.0,100000.0,平成21年,0.0,2009.0,2009
中古マンション等,勝どき,60000000.0,2475000.0,80.0,750000.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,60000000.0,2639999.0,75.0,800000.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,19000000.0,1567500.0,40.0,475000.0,昭和55年,29.0,1980.0,2009
中古マンション等,勝どき,40000000.0,3300000.0,40.0,1000000.0,平成21年,0.0,2009.0,2009
中古マンション等,勝どき,40000000.0,3300000.0,40.0,1000000.0,平成21年,0.0,2009.0,2009
中古マンション等,勝どき,38000000.0,1929230.0,65.0,584615.0,平成13年,8.0,2001.0,2009
中古マンション等,勝どき,51000000.0,2804999.0,60.0,850000.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,5500000.0,1209999.0,15.0,366666.0,昭和50年,34.0,1975.0,2009
中古マンション等,勝どき,39000000.0,3217500.0,40.0,975000.0,平成21年,0.0,2009.0,2009
中古マンション等,勝どき,41000000.0,3865714.0,35.0,1171428.0,平成21年,0.0,2009.0,2009
中古マンション等,勝どき,62000000.0,2407058.0,85.0,729411.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,46000000.0,2168571.0,70.0,657142.0,平成10年,11.0,1998.0,2009
中古マンション等,勝どき,72000000.0,2639999.0,90.0,800000.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,55000000.0,2592857.0,70.0,785714.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,5500000.0,1209999.0,15.0,366666.0,昭和49年,35.0,1974.0,2009
中古マンション等,勝どき,49000000.0,2694999.0,60.0,816666.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,78000000.0,2573999.0,100.0,780000.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,45000000.0,2284615.0,65.0,692307.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,40000000.0,1885714.0,70.0,571428.0,平成15年,6.0,2003.0,2009
中古マンション等,勝どき,51000000.0,2589230.0,65.0,784615.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,58000000.0,2551999.0,75.0,773333.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,38000000.0,2089999.0,60.0,633333.0,平成12年,9.0,2000.0,2009
中古マンション等,勝どき,60000000.0,2329411.0,85.0,705882.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,49000000.0,2487692.0,65.0,753846.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,38000000.0,2279999.0,55.0,690909.0,平成15年,6.0,2003.0,2009
中古マンション等,勝どき,75000000.0,2605263.0,95.0,789473.0,平成20年,1.0,2008.0,2009
中古マンション等,勝どき,69000000.0,1897499.0,120.0,575000.0,平成12年,9.0,2000.0,2009
中古マンション等,勝どき,18000000.0,1319999.0,45.0,400000.0,昭和48年,36.0,1973.0,2009
中古マンション等,勝どき,66000000.0,2562352.0,85.0,776470.0,平成20年,1.0,2008.0,2009
中古マンション等,銀座,37000000.0,4069999.0,30.0,1233333.0,平成16年,5.0,2004.0,2009
中古マンション等,銀座,20000000.0,3300000.0,20.0,1000000.0,平成16年,5.0,2004.0,2009
中古マンション等,銀座,25000000.0,3299999.0,25.0,1000000.0,平成16年,5.0,2004.0,2009
中古マンション等,銀座,24000000.0,3960000.0,20.0,1200000.0,平成19年,2.0,2007.0,2009
中古マンション等,銀座,42000000.0,2771999.0,50.0,840000.0,平成11年,10.0,1999.0,2009
中古マンション等,銀座,29000000.0,3189999.0,30.0,966666.0,平成15年,6.0,2003.0,2009
中古マンション等,銀座,29000000.0,3827999.0,25.0,1160000.0,平成16年,5.0,2004.0,2009
中古マンション等,銀座,21000000.0,3465000.0,20.0,1050000.0,平成15年,6.0,2003.0,2009
中古マンション等,銀座,28000000.0,3695999.0,25.0,1120000.0,平成16年,5.0,2004.0,2009
中古マンション等,銀座,22000000.0,2903999.0,25.0,880000.0,平成16年,5.0,2004.0,2009
中古マンション等,新川,6600000.0,1089000.0,20.0,330000.0,昭和49年,35.0,1974.0,2009
中古マンション等,新川,7500000.0,1649999.0,15.0,500000.0,昭和49年,35.0,1974.0,2009
中古マンション等,新川,7600000.0,1254000.0,20.0,380000.0,昭和52年,32.0,1977.0,2009
中古マンション等,新川,22000000.0,1815000.0,40.0,550000.0,昭和53年,31.0,1978.0,2009
中古マンション等,新川,30000000.0,2475000.0,40.0,750000.0,平成17年,4.0,2005.0,2009
中古マンション等,新川,12000000.0,1980000.0,20.0,600000.0,平成11年,10.0,1999.0,2009
中古マンション等,新川,12000000.0,1980000.0,20.0,600000.0,平成11年,10.0,1999.0,2009
