種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
中古マンション等,明石町,35000000.0,3299999.0,35.0,1000000.0,平成16年,11.0,2004.0,2015
中古マンション等,明石町,11000000.0,1815000.0,20.0,550000.0,昭和53年,37.0,1978.0,2015
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成15年,12.0,2003.0,2015
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成15年,12.0,2003.0,2015
中古マンション等,入船,23000000.0,3795000.0,20.0,1150000.0,平成18年,9.0,2006.0,2015
中古マンション等,入船,19000000.0,3135000.0,20.0,950000.0,平成15年,12.0,2003.0,2015
中古マンション等,入船,19000000.0,3135000.0,20.0,950000.0,平成14年,13.0,2002.0,2015
中古マンション等,入船,64000000.0,3017142.0,70.0,914285.0,平成15年,12.0,2003.0,2015
中古マンション等,入船,15000000.0,1979999.0,25.0,600000.0,平成10年,17.0,1998.0,2015
中古マンション等,入船,20000000.0,3300000.0,20.0,1000000.0,平成12年,15.0,2000.0,2015
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成12年,15.0,2000.0,2015
中古マンション等,入船,19000000.0,2507999.0,25.0,760000.0,平成10年,17.0,1998.0,2015
中古マンション等,入船,22000000.0,3630000.0,20.0,1100000.0,平成12年,15.0,2000.0,2015
中古マンション等,入船,47000000.0,3446666.0,45.0,1044444.0,平成22年,5.0,2010.0,2015
中古マンション等,入船,46000000.0,3373333.0,45.0,1022222.0,平成22年,5.0,2010.0,2015
中古マンション等,入船,27000000.0,4455000.0,20.0,1350000.0,平成12年,15.0,2000.0,2015
中古マンション等,入船,20000000.0,4399999.0,15.0,1333333.0,平成12年,15.0,2000.0,2015
中古マンション等,勝どき,65000000.0,2859999.0,75.0,866666.0,平成20年,7.0,2008.0,2015
中古マンション等,勝どき,51000000.0,2804999.0,60.0,850000.0,平成19年,8.0,2007.0,2015
中古マンション等,勝どき,16000000.0,3519999.0,15.0,1066666.0,昭和50年,40.0,1975.0,2015
中古マンション等,勝どき,21000000.0,4619999.0,15.0,1400000.0,昭和50年,40.0,1975.0,2015
中古マンション等,勝どき,53000000.0,2690769.0,65.0,815384.0,平成17年,10.0,2005.0,2015
中古マンション等,勝どき,30000000.0,2828571.0,35.0,857142.0,昭和50年,40.0,1975.0,2015
中古マンション等,勝どき,34000000.0,2805000.0,40.0,850000.0,平成21年,6.0,2009.0,2015
中古マンション等,勝どき,66000000.0,2903999.0,75.0,880000.0,平成20年,7.0,2008.0,2015
中古マンション等,勝どき,6200000.0,1363999.0,15.0,413333.0,昭和50年,40.0,1975.0,2015
中古マンション等,勝どき,24000000.0,2262857.0,35.0,685714.0,昭和48年,42.0,1973.0,2015
中古マンション等,勝どき,170000000.0,5099999.0,110.0,1545454.0,平成20年,7.0,2008.0,2015
中古マンション等,勝どき,16000000.0,2640000.0,20.0,800000.0,平成14年,13.0,2002.0,2015
中古マンション等,勝どき,15000000.0,2475000.0,20.0,750000.0,平成14年,13.0,2002.0,2015
中古マンション等,勝どき,22000000.0,3630000.0,20.0,1100000.0,平成14年,13.0,2002.0,2015
中古マンション等,勝どき,83000000.0,3423750.0,80.0,1037500.0,平成22年,5.0,2010.0,2015
中古マンション等,勝どき,54000000.0,2741538.0,65.0,830769.0,平成19年,8.0,2007.0,2015
中古マンション等,勝どき,39000000.0,2573999.0,50.0,780000.0,昭和59年,31.0,1984.0,2015
中古マンション等,勝どき,69000000.0,3503076.0,65.0,1061538.0,平成26年,1.0,2014.0,2015
中古マンション等,勝どき,37000000.0,3052500.0,40.0,925000.0,平成24年,3.0,2012.0,2015
中古マンション等,勝どき,40000000.0,2399999.0,55.0,727272.0,平成15年,12.0,2003.0,2015
中古マンション等,勝どき,65000000.0,2859999.0,75.0,866666.0,平成20年,7.0,2008.0,2015
中古マンション等,勝どき,28000000.0,2053333.0,45.0,622222.0,平成14年,13.0,2002.0,2015
中古マンション等,勝どき,59000000.0,2781428.0,70.0,842857.0,平成19年,8.0,2007.0,2015
中古マンション等,勝どき,57000000.0,3761999.0,50.0,1140000.0,平成22年,5.0,2010.0,2015
中古マンション等,勝どき,34000000.0,2805000.0,40.0,850000.0,昭和55年,35.0,1980.0,2015
中古マンション等,勝どき,74000000.0,3052500.0,80.0,925000.0,平成20年,7.0,2008.0,2015
中古マンション等,勝どき,16000000.0,2640000.0,20.0,800000.0,平成14年,13.0,2002.0,2015
中古マンション等,勝どき,65000000.0,2859999.0,75.0,866666.0,平成19年,8.0,2007.0,2015
中古マンション等,勝どき,100000000.0,2749999.0,120.0,833333.0,平成12年,15.0,2000.0,2015
中古マンション等,勝どき,25000000.0,2357142.0,35.0,714285.0,昭和48年,42.0,1973.0,2015
中古マンション等,勝どき,40000000.0,2639999.0,50.0,800000.0,平成11年,16.0,1999.0,2015
中古マンション等,勝どき,9500000.0,2089999.0,15.0,633333.0,昭和50年,40.0,1975.0,2015
中古マンション等,勝どき,21000000.0,3465000.0,20.0,1050000.0,平成15年,12.0,2003.0,2015
中古マンション等,勝どき,35000000.0,2887500.0,40.0,875000.0,平成12年,15.0,2000.0,2015
中古マンション等,勝どき,43000000.0,2579999.0,55.0,781818.0,平成12年,15.0,2000.0,2015
中古マンション等,勝どき,60000000.0,3299999.0,60.0,1000000.0,平成26年,1.0,2014.0,2015
中古マンション等,勝どき,16000000.0,2640000.0,20.0,800000.0,平成14年,13.0,2002.0,2015
中古マンション等,勝どき,21000000.0,1732500.0,40.0,525000.0,昭和55年,35.0,1980.0,2015
中古マンション等,勝どき,89000000.0,3263333.0,90.0,988888.0,平成20年,7.0,2008.0,2015
中古マンション等,勝どき,12000000.0,2639999.0,15.0,800000.0,昭和49年,41.0,1974.0,2015
中古マンション等,勝どき,13000000.0,953333.0,45.0,288888.0,昭和55年,35.0,1980.0,2015
中古マンション等,勝どき,49000000.0,2694999.0,60.0,816666.0,平成12年,15.0,2000.0,2015
中古マンション等,勝どき,78000000.0,2859999.0,90.0,866666.0,平成20年,7.0,2008.0,2015
