種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
中古マンション等,勝どき,23000000.0,2529999.0,30.0,766666.0,昭和47年,48.0,1972.0,2020
中古マンション等,勝どき,30000000.0,3299999.0,30.0,1000000.0,平成15年,17.0,2003.0,2020
中古マンション等,勝どき,97000000.0,4001250.0,80.0,1212500.0,平成28年,4.0,2016.0,2020
中古マンション等,勝どき,52000000.0,2859999.0,60.0,866666.0,平成19年,13.0,2007.0,2020
中古マンション等,勝どき,24000000.0,1980000.0,40.0,600000.0,昭和55年,40.0,1980.0,2020
中古マンション等,勝どき,52000000.0,4290000.0,40.0,1300000.0,平成28年,4.0,2016.0,2020
中古マンション等,勝どき,87000000.0,4101428.0,70.0,1242857.0,平成28年,4.0,2016.0,2020
中古マンション等,勝どき,90000000.0,3712500.0,80.0,1125000.0,平成28年,4.0,2016.0,2020
中古マンション等,勝どき,110000000.0,4537500.0,80.0,1375000.0,平成28年,4.0,2016.0,2020
中古マンション等,勝どき,72000000.0,3167999.0,75.0,960000.0,平成20年,12.0,2008.0,2020
中古マンション等,勝どき,59000000.0,2995384.0,65.0,907692.0,平成19年,13.0,2007.0,2020
中古マンション等,勝どき,70000000.0,3849999.0,60.0,1166666.0,平成20年,12.0,2008.0,2020
中古マンション等,勝どき,35000000.0,2887500.0,40.0,875000.0,昭和56年,39.0,1981.0,2020
中古マンション等,勝どき,16000000.0,2111999.0,25.0,640000.0,昭和64年,31.0,1989.0,2020
中古マンション等,勝どき,72000000.0,3167999.0,75.0,960000.0,平成20年,12.0,2008.0,2020
中古マンション等,勝どき,54000000.0,3239999.0,55.0,981818.0,平成10年,22.0,1998.0,2020
中古マンション等,勝どき,11000000.0,2419999.0,15.0,733333.0,昭和49年,46.0,1974.0,2020
中古マンション等,勝どき,49000000.0,2939999.0,55.0,890909.0,平成24年,8.0,2012.0,2020
中古マンション等,勝どき,47000000.0,2819999.0,55.0,854545.0,平成24年,8.0,2012.0,2020
中古マンション等,勝どき,84000000.0,3079999.0,90.0,933333.0,平成20年,12.0,2008.0,2020
中古マンション等,勝どき,68000000.0,2805000.0,80.0,850000.0,平成12年,20.0,2000.0,2020
