種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
中古マンション等,明石町,12000000.0,1980000.0,20.0,600000.0,昭和53年,36.0,1978.0,2014
中古マンション等,明石町,11000000.0,1815000.0,20.0,550000.0,昭和53年,36.0,1978.0,2014
中古マンション等,明石町,12000000.0,2639999.0,15.0,800000.0,昭和60年,29.0,1985.0,2014
中古マンション等,明石町,65000000.0,2859999.0,75.0,866666.0,平成16年,10.0,2004.0,2014
中古マンション等,入船,20000000.0,3300000.0,20.0,1000000.0,平成20年,6.0,2008.0,2014
中古マンション等,入船,52000000.0,2859999.0,60.0,866666.0,平成15年,11.0,2003.0,2014
中古マンション等,入船,30000000.0,3299999.0,30.0,1000000.0,平成15年,11.0,2003.0,2014
中古マンション等,入船,19000000.0,4179999.0,15.0,1266666.0,平成14年,12.0,2002.0,2014
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成14年,12.0,2002.0,2014
中古マンション等,入船,23000000.0,3035999.0,25.0,920000.0,平成15年,11.0,2003.0,2014
中古マンション等,入船,31000000.0,2557500.0,40.0,775000.0,平成15年,11.0,2003.0,2014
中古マンション等,入船,39000000.0,2144999.0,60.0,650000.0,平成16年,10.0,2004.0,2014
中古マンション等,入船,17000000.0,2805000.0,20.0,850000.0,昭和60年,29.0,1985.0,2014
中古マンション等,入船,23000000.0,3795000.0,20.0,1150000.0,平成18年,8.0,2006.0,2014
中古マンション等,入船,20000000.0,3300000.0,20.0,1000000.0,平成15年,11.0,2003.0,2014
中古マンション等,入船,52000000.0,2287999.0,75.0,693333.0,平成11年,15.0,1999.0,2014
中古マンション等,入船,20000000.0,3300000.0,20.0,1000000.0,平成16年,10.0,2004.0,2014
中古マンション等,入船,16000000.0,2640000.0,20.0,800000.0,平成15年,11.0,2003.0,2014
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成12年,14.0,2000.0,2014
中古マンション等,入船,18000000.0,2970000.0,20.0,900000.0,平成16年,10.0,2004.0,2014
中古マンション等,入船,22000000.0,3630000.0,20.0,1100000.0,平成12年,14.0,2000.0,2014
中古マンション等,入船,40000000.0,2199999.0,60.0,666666.0,平成12年,14.0,2000.0,2014
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成15年,11.0,2003.0,2014
中古マンション等,入船,15000000.0,2475000.0,20.0,750000.0,平成15年,11.0,2003.0,2014
中古マンション等,入船,22000000.0,3630000.0,20.0,1100000.0,平成16年,10.0,2004.0,2014
中古マンション等,勝どき,68000000.0,2639999.0,85.0,800000.0,平成20年,6.0,2008.0,2014
