種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
中古マンション等,明石町,15000000.0,1099999.0,45.0,333333.0,昭和53年,27.0,1978.0,2005
中古マンション等,明石町,8500000.0,1869999.0,15.0,566666.0,昭和60年,20.0,1985.0,2005
中古マンション等,明石町,10000000.0,1650000.0,20.0,500000.0,昭和53年,27.0,1978.0,2005
中古マンション等,明石町,9900000.0,1633500.0,20.0,495000.0,昭和53年,27.0,1978.0,2005
中古マンション等,入船,10000000.0,1650000.0,20.0,500000.0,平成3年,14.0,1991.0,2005
中古マンション等,入船,44000000.0,2074285.0,70.0,628571.0,平成16年,1.0,2004.0,2005
中古マンション等,勝どき,7500000.0,1649999.0,15.0,500000.0,昭和50年,30.0,1975.0,2005
中古マンション等,勝どき,33000000.0,1814999.0,60.0,550000.0,平成10年,7.0,1998.0,2005
中古マンション等,勝どき,34000000.0,1869999.0,60.0,566666.0,平成15年,2.0,2003.0,2005
中古マンション等,勝どき,51000000.0,2243999.0,75.0,680000.0,平成12年,5.0,2000.0,2005
中古マンション等,勝どき,7500000.0,989999.0,25.0,300000.0,昭和50年,30.0,1975.0,2005
中古マンション等,勝どき,14000000.0,1026666.0,45.0,311111.0,昭和49年,31.0,1974.0,2005
中古マンション等,勝どき,39000000.0,1715999.0,75.0,520000.0,平成12年,5.0,2000.0,2005
中古マンション等,勝どき,35000000.0,1924999.0,60.0,583333.0,平成11年,6.0,1999.0,2005
中古マンション等,勝どき,80000000.0,2199999.0,120.0,666666.0,平成13年,4.0,2001.0,2005
中古マンション等,勝どき,9000000.0,1187999.0,25.0,360000.0,昭和46年,34.0,1971.0,2005
中古マンション等,勝どき,38000000.0,1475294.0,85.0,447058.0,昭和50年,30.0,1975.0,2005
中古マンション等,勝どき,23000000.0,1897500.0,40.0,575000.0,昭和50年,30.0,1975.0,2005
中古マンション等,銀座,16000000.0,2640000.0,20.0,800000.0,平成11年,6.0,1999.0,2005
中古マンション等,銀座,52000000.0,3431999.0,50.0,1040000.0,平成16年,1.0,2004.0,2005
中古マンション等,新川,37000000.0,3052500.0,40.0,925000.0,平成17年,0.0,2005.0,2005
