種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
中古マンション等,明石町,10000000.0,2199999.0,15.0,666666.0,昭和60年,32.0,1985.0,2017
中古マンション等,明石町,30000000.0,2199999.0,45.0,666666.0,昭和60年,32.0,1985.0,2017
中古マンション等,明石町,47000000.0,3101999.0,50.0,940000.0,平成24年,5.0,2012.0,2017
中古マンション等,明石町,10000000.0,1650000.0,20.0,500000.0,昭和53年,39.0,1978.0,2017
中古マンション等,入船,23000000.0,3795000.0,20.0,1150000.0,平成15年,14.0,2003.0,2017
中古マンション等,入船,24000000.0,3960000.0,20.0,1200000.0,平成18年,11.0,2006.0,2017
中古マンション等,入船,23000000.0,3795000.0,20.0,1150000.0,平成14年,15.0,2002.0,2017
中古マンション等,入船,22000000.0,1209999.0,60.0,366666.0,昭和60年,32.0,1985.0,2017
中古マンション等,入船,30000000.0,3959999.0,25.0,1200000.0,平成28年,1.0,2016.0,2017
中古マンション等,入船,24000000.0,3960000.0,20.0,1200000.0,平成15年,14.0,2003.0,2017
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成15年,14.0,2003.0,2017
中古マンション等,入船,22000000.0,4839999.0,15.0,1466666.0,平成14年,15.0,2002.0,2017
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成15年,14.0,2003.0,2017
中古マンション等,入船,22000000.0,3630000.0,20.0,1100000.0,平成14年,15.0,2002.0,2017
中古マンション等,入船,22000000.0,3630000.0,20.0,1100000.0,平成15年,14.0,2003.0,2017
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,昭和60年,32.0,1985.0,2017
中古マンション等,入船,24000000.0,3167999.0,25.0,960000.0,平成12年,17.0,2000.0,2017
中古マンション等,入船,23000000.0,3795000.0,20.0,1150000.0,平成12年,17.0,2000.0,2017
中古マンション等,入船,28000000.0,3695999.0,25.0,1120000.0,平成12年,17.0,2000.0,2017
中古マンション等,入船,24000000.0,3960000.0,20.0,1200000.0,平成15年,14.0,2003.0,2017
中古マンション等,入船,23000000.0,3795000.0,20.0,1150000.0,平成12年,17.0,2000.0,2017
中古マンション等,入船,110000000.0,4839999.0,75.0,1466666.0,平成12年,17.0,2000.0,2017
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成15年,14.0,2003.0,2017
中古マンション等,入船,28000000.0,3079999.0,30.0,933333.0,平成10年,19.0,1998.0,2017
中古マンション等,入船,18000000.0,2970000.0,20.0,900000.0,平成3年,26.0,1991.0,2017
中古マンション等,入船,5000000.0,825000.0,20.0,250000.0,昭和57年,35.0,1982.0,2017
中古マンション等,入船,13000000.0,2859999.0,15.0,866666.0,昭和63年,29.0,1988.0,2017
中古マンション等,入船,22000000.0,2903999.0,25.0,880000.0,平成10年,19.0,1998.0,2017
中古マンション等,入船,28000000.0,3695999.0,25.0,1120000.0,平成10年,19.0,1998.0,2017
中古マンション等,入船,55000000.0,3024999.0,60.0,916666.0,平成12年,17.0,2000.0,2017
中古マンション等,入船,28000000.0,803478.0,115.0,243478.0,昭和57年,35.0,1982.0,2017
中古マンション等,勝どき,73000000.0,3441428.0,70.0,1042857.0,平成28年,1.0,2016.0,2017
中古マンション等,勝どき,18000000.0,1979999.0,30.0,600000.0,昭和48年,44.0,1973.0,2017
中古マンション等,勝どき,34000000.0,2805000.0,40.0,850000.0,平成20年,9.0,2008.0,2017
中古マンション等,勝どき,35000000.0,3299999.0,35.0,1000000.0,平成22年,7.0,2010.0,2017
中古マンション等,勝どき,22000000.0,3630000.0,20.0,1100000.0,平成14年,15.0,2002.0,2017
中古マンション等,勝どき,22000000.0,3630000.0,20.0,1100000.0,平成19年,10.0,2007.0,2017
中古マンション等,勝どき,100000000.0,2869565.0,115.0,869565.0,平成20年,9.0,2008.0,2017
中古マンション等,勝どき,50000000.0,2749999.0,60.0,833333.0,平成20年,9.0,2008.0,2017
中古マンション等,勝どき,50000000.0,4125000.0,40.0,1250000.0,平成28年,1.0,2016.0,2017
中古マンション等,勝どき,49000000.0,2694999.0,60.0,816666.0,平成15年,14.0,2003.0,2017
中古マンション等,勝どき,89000000.0,3263333.0,90.0,988888.0,平成20年,9.0,2008.0,2017
中古マンション等,勝どき,120000000.0,3959999.0,100.0,1200000.0,平成28年,1.0,2016.0,2017
中古マンション等,勝どき,57000000.0,3134999.0,60.0,950000.0,平成20年,9.0,2008.0,2017
中古マンション等,勝どき,78000000.0,3217500.0,80.0,975000.0,平成28年,1.0,2016.0,2017
中古マンション等,勝どき,27000000.0,4455000.0,20.0,1350000.0,平成20年,9.0,2008.0,2017
中古マンション等,勝どき,46000000.0,2529999.0,60.0,766666.0,平成15年,14.0,2003.0,2017
中古マンション等,勝どき,49000000.0,2939999.0,55.0,890909.0,平成28年,1.0,2016.0,2017
中古マンション等,勝どき,55000000.0,2792307.0,65.0,846153.0,平成19年,10.0,2007.0,2017
中古マンション等,勝どき,53000000.0,3179999.0,55.0,963636.0,平成28年,1.0,2016.0,2017
中古マンション等,勝どき,68000000.0,2805000.0,80.0,850000.0,平成12年,17.0,2000.0,2017
中古マンション等,勝どき,71000000.0,3347142.0,70.0,1014285.0,平成28年,1.0,2016.0,2017
中古マンション等,勝どき,120000000.0,4950000.0,80.0,1500000.0,平成22年,7.0,2010.0,2017
中古マンション等,勝どき,30000000.0,2828571.0,35.0,857142.0,平成26年,3.0,2014.0,2017
