種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
中古マンション等,明石町,82000000.0,4163076.0,65.0,1261538.0,平成26年,4.0,2014.0,2018
中古マンション等,明石町,11000000.0,1815000.0,20.0,550000.0,昭和53年,40.0,1978.0,2018
中古マンション等,明石町,41000000.0,3006666.0,45.0,911111.0,昭和60年,33.0,1985.0,2018
中古マンション等,明石町,23000000.0,3795000.0,20.0,1150000.0,昭和60年,33.0,1985.0,2018
中古マンション等,明石町,53000000.0,3497999.0,50.0,1060000.0,平成17年,13.0,2005.0,2018
中古マンション等,入船,42000000.0,3079999.0,45.0,933333.0,平成15年,15.0,2003.0,2018
中古マンション等,入船,23000000.0,3795000.0,20.0,1150000.0,平成18年,12.0,2006.0,2018
中古マンション等,入船,22000000.0,3630000.0,20.0,1100000.0,平成15年,15.0,2003.0,2018
中古マンション等,入船,42000000.0,2309999.0,60.0,700000.0,昭和60年,33.0,1985.0,2018
中古マンション等,入船,29000000.0,3827999.0,25.0,1160000.0,平成15年,15.0,2003.0,2018
中古マンション等,入船,24000000.0,3960000.0,20.0,1200000.0,平成14年,16.0,2002.0,2018
中古マンション等,入船,22000000.0,3630000.0,20.0,1100000.0,平成14年,16.0,2002.0,2018
中古マンション等,入船,22000000.0,3630000.0,20.0,1100000.0,平成14年,16.0,2002.0,2018
中古マンション等,入船,60000000.0,3046153.0,65.0,923076.0,平成15年,15.0,2003.0,2018
中古マンション等,入船,25000000.0,4125000.0,20.0,1250000.0,平成18年,12.0,2006.0,2018
中古マンション等,入船,23000000.0,3795000.0,20.0,1150000.0,平成20年,10.0,2008.0,2018
中古マンション等,入船,30000000.0,3959999.0,25.0,1200000.0,平成12年,18.0,2000.0,2018
中古マンション等,入船,18000000.0,1485000.0,40.0,450000.0,昭和63年,30.0,1988.0,2018
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成16年,14.0,2004.0,2018
中古マンション等,入船,16000000.0,2640000.0,20.0,800000.0,平成3年,27.0,1991.0,2018
中古マンション等,入船,21000000.0,1979999.0,35.0,600000.0,昭和63年,30.0,1988.0,2018
中古マンション等,入船,24000000.0,3960000.0,20.0,1200000.0,平成15年,15.0,2003.0,2018
中古マンション等,入船,24000000.0,3960000.0,20.0,1200000.0,平成12年,18.0,2000.0,2018
中古マンション等,勝どき,40000000.0,3771428.0,35.0,1142857.0,平成24年,6.0,2012.0,2018
中古マンション等,勝どき,39000000.0,3677142.0,35.0,1114285.0,平成22年,8.0,2010.0,2018
中古マンション等,勝どき,51000000.0,2804999.0,60.0,850000.0,平成15年,15.0,2003.0,2018
中古マンション等,勝どき,59000000.0,3244999.0,60.0,983333.0,平成26年,4.0,2014.0,2018
中古マンション等,勝どき,67000000.0,4019999.0,55.0,1218181.0,平成22年,8.0,2010.0,2018
中古マンション等,勝どき,55000000.0,2592857.0,70.0,785714.0,平成12年,18.0,2000.0,2018
中古マンション等,勝どき,45000000.0,3299999.0,45.0,1000000.0,平成28年,2.0,2016.0,2018
中古マンション等,勝どき,61000000.0,3354999.0,60.0,1016666.0,平成26年,4.0,2014.0,2018
中古マンション等,勝どき,57000000.0,3134999.0,60.0,950000.0,平成28年,2.0,2016.0,2018
中古マンション等,勝どき,47000000.0,3101999.0,50.0,940000.0,平成9年,21.0,1997.0,2018
中古マンション等,勝どき,68000000.0,3205714.0,70.0,971428.0,平成20年,10.0,2008.0,2018
中古マンション等,勝どき,79000000.0,3475999.0,75.0,1053333.0,平成20年,10.0,2008.0,2018
中古マンション等,勝どき,54000000.0,3239999.0,55.0,981818.0,平成26年,4.0,2014.0,2018
中古マンション等,勝どき,79000000.0,3258750.0,80.0,987500.0,平成20年,10.0,2008.0,2018
中古マンション等,勝どき,120000000.0,4658823.0,85.0,1411764.0,平成28年,2.0,2016.0,2018
中古マンション等,勝どき,56000000.0,3359999.0,55.0,1018181.0,平成28年,2.0,2016.0,2018
中古マンション等,勝どき,42000000.0,3465000.0,40.0,1050000.0,平成20年,10.0,2008.0,2018
中古マンション等,勝どき,76000000.0,2950588.0,85.0,894117.0,平成20年,10.0,2008.0,2018
中古マンション等,勝どき,20000000.0,3300000.0,20.0,1000000.0,平成18年,12.0,2006.0,2018
中古マンション等,勝どき,50000000.0,2538461.0,65.0,769230.0,平成15年,15.0,2003.0,2018
中古マンション等,勝どき,80000000.0,3771428.0,70.0,1142857.0,平成20年,10.0,2008.0,2018
中古マンション等,勝どき,25000000.0,1499999.0,55.0,454545.0,平成22年,8.0,2010.0,2018
中古マンション等,勝どき,91000000.0,3753750.0,80.0,1137500.0,平成28年,2.0,2016.0,2018
中古マンション等,勝どき,54000000.0,2969999.0,60.0,900000.0,平成15年,15.0,2003.0,2018
中古マンション等,勝どき,41000000.0,2254999.0,60.0,683333.0,平成15年,15.0,2003.0,2018
中古マンション等,勝どき,26000000.0,4290000.0,20.0,1300000.0,平成20年,10.0,2008.0,2018
中古マンション等,勝どき,23000000.0,3795000.0,20.0,1150000.0,平成19年,11.0,2007.0,2018
中古マンション等,勝どき,55000000.0,2792307.0,65.0,846153.0,平成19年,11.0,2007.0,2018
中古マンション等,勝どき,50000000.0,2749999.0,60.0,833333.0,平成12年,18.0,2000.0,2018
中古マンション等,勝どき,28000000.0,2310000.0,40.0,700000.0,昭和46年,47.0,1971.0,2018
中古マンション等,勝どき,71000000.0,3123999.0,75.0,946666.0,平成20年,10.0,2008.0,2018
中古マンション等,勝どき,88000000.0,3226666.0,90.0,977777.0,平成20年,10.0,2008.0,2018
中古マンション等,勝どき,90000000.0,3712500.0,80.0,1125000.0,平成28年,2.0,2016.0,2018
中古マンション等,勝どき,120000000.0,3599999.0,110.0,1090909.0,平成20年,10.0,2008.0,2018
中古マンション等,勝どき,26000000.0,1715999.0,50.0,520000.0,昭和59年,34.0,1984.0,2018
中古マンション等,勝どき,58000000.0,3189999.0,60.0,966666.0,平成26年,4.0,2014.0,2018
中古マンション等,勝どき,51000000.0,3739999.0,45.0,1133333.0,平成28年,2.0,2016.0,2018
中古マンション等,勝どき,48000000.0,2879999.0,55.0,872727.0,平成24年,6.0,2012.0,2018
中古マンション等,勝どき,76000000.0,4559999.0,55.0,1381818.0,平成22年,8.0,2010.0,2018
