種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
中古マンション等,明石町,42000000.0,2132307.0,65.0,646153.0,平成10年,14.0,1998.0,2012
中古マンション等,明石町,7700000.0,1270500.0,20.0,385000.0,昭和53年,34.0,1978.0,2012
中古マンション等,明石町,28000000.0,1679999.0,55.0,509090.0,昭和53年,34.0,1978.0,2012
中古マンション等,明石町,34000000.0,1869999.0,60.0,566666.0,平成10年,14.0,1998.0,2012
中古マンション等,明石町,43000000.0,2183076.0,65.0,661538.0,平成11年,13.0,1999.0,2012
中古マンション等,入船,18000000.0,2970000.0,20.0,900000.0,平成18年,6.0,2006.0,2012
中古マンション等,入船,17000000.0,2243999.0,25.0,680000.0,平成15年,9.0,2003.0,2012
中古マンション等,入船,23000000.0,3795000.0,20.0,1150000.0,平成15年,9.0,2003.0,2012
中古マンション等,入船,25000000.0,2062500.0,40.0,625000.0,平成15年,9.0,2003.0,2012
中古マンション等,入船,20000000.0,3300000.0,20.0,1000000.0,平成14年,10.0,2002.0,2012
中古マンション等,入船,20000000.0,2199999.0,30.0,666666.0,昭和60年,27.0,1985.0,2012
中古マンション等,入船,19000000.0,3135000.0,20.0,950000.0,平成15年,9.0,2003.0,2012
中古マンション等,入船,15000000.0,2475000.0,20.0,750000.0,平成15年,9.0,2003.0,2012
中古マンション等,入船,60000000.0,2639999.0,75.0,800000.0,平成15年,9.0,2003.0,2012
中古マンション等,入船,46000000.0,1319999.0,115.0,400000.0,昭和57年,30.0,1982.0,2012
中古マンション等,入船,39000000.0,2144999.0,60.0,650000.0,平成16年,8.0,2004.0,2012
中古マンション等,入船,16000000.0,2640000.0,20.0,800000.0,平成12年,12.0,2000.0,2012
中古マンション等,入船,18000000.0,2970000.0,20.0,900000.0,平成12年,12.0,2000.0,2012
中古マンション等,入船,47000000.0,2215714.0,70.0,671428.0,平成11年,13.0,1999.0,2012
中古マンション等,入船,48000000.0,2639999.0,60.0,800000.0,平成16年,8.0,2004.0,2012
中古マンション等,入船,22000000.0,2903999.0,25.0,880000.0,平成10年,14.0,1998.0,2012
中古マンション等,入船,21000000.0,2771999.0,25.0,840000.0,平成12年,12.0,2000.0,2012
中古マンション等,入船,50000000.0,2749999.0,60.0,833333.0,平成16年,8.0,2004.0,2012
中古マンション等,入船,11000000.0,1815000.0,20.0,550000.0,平成3年,21.0,1991.0,2012
中古マンション等,入船,50000000.0,2538461.0,65.0,769230.0,平成12年,12.0,2000.0,2012
中古マンション等,勝どき,78000000.0,2859999.0,90.0,866666.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,110000000.0,3156521.0,115.0,956521.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,38000000.0,2089999.0,60.0,633333.0,平成15年,9.0,2003.0,2012
中古マンション等,勝どき,44000000.0,2419999.0,60.0,733333.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,92000000.0,2639999.0,115.0,800000.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,43000000.0,2364999.0,60.0,716666.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,51000000.0,3059999.0,55.0,927272.0,平成22年,2.0,2010.0,2012
中古マンション等,勝どき,37000000.0,1744285.0,70.0,528571.0,平成12年,12.0,2000.0,2012
中古マンション等,勝どき,25000000.0,1833333.0,45.0,555555.0,平成16年,8.0,2004.0,2012
中古マンション等,勝どき,6700000.0,1105500.0,20.0,335000.0,昭和49年,38.0,1974.0,2012
中古マンション等,勝どき,6000000.0,990000.0,20.0,300000.0,昭和49年,38.0,1974.0,2012
中古マンション等,勝どき,48000000.0,2262857.0,70.0,685714.0,平成19年,5.0,2007.0,2012
中古マンション等,勝どき,63000000.0,2771999.0,75.0,840000.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,22000000.0,1451999.0,50.0,440000.0,昭和59年,28.0,1984.0,2012
中古マンション等,勝どき,26000000.0,1715999.0,50.0,520000.0,平成9年,15.0,1997.0,2012
中古マンション等,勝どき,47000000.0,2819999.0,55.0,854545.0,平成22年,2.0,2010.0,2012
中古マンション等,勝どき,40000000.0,2199999.0,60.0,666666.0,平成15年,9.0,2003.0,2012
中古マンション等,勝どき,34000000.0,2039999.0,55.0,618181.0,平成11年,13.0,1999.0,2012
中古マンション等,勝どき,35000000.0,1776923.0,65.0,538461.0,平成12年,12.0,2000.0,2012
中古マンション等,勝どき,100000000.0,2444444.0,135.0,740740.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,42000000.0,2309999.0,60.0,700000.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,47000000.0,2584999.0,60.0,783333.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,46000000.0,2529999.0,60.0,766666.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,28000000.0,1679999.0,55.0,509090.0,昭和50年,37.0,1975.0,2012
中古マンション等,勝どき,50000000.0,2062500.0,80.0,625000.0,平成12年,12.0,2000.0,2012
中古マンション等,勝どき,85000000.0,2952631.0,95.0,894736.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,70000000.0,2566666.0,90.0,777777.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,83000000.0,3043333.0,90.0,922222.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,26000000.0,2451428.0,35.0,742857.0,平成22年,2.0,2010.0,2012
中古マンション等,勝どき,66000000.0,2562352.0,85.0,776470.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,120000000.0,2933333.0,135.0,888888.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,32000000.0,1919999.0,55.0,581818.0,昭和56年,31.0,1981.0,2012
中古マンション等,勝どき,29000000.0,2126666.0,45.0,644444.0,平成15年,9.0,2003.0,2012
中古マンション等,勝どき,63000000.0,2771999.0,75.0,840000.0,平成19年,5.0,2007.0,2012
中古マンション等,勝どき,27000000.0,1979999.0,45.0,600000.0,平成11年,13.0,1999.0,2012
中古マンション等,勝どき,38000000.0,1929230.0,65.0,584615.0,平成12年,12.0,2000.0,2012
中古マンション等,勝どき,40000000.0,3300000.0,40.0,1000000.0,平成20年,4.0,2008.0,2012
中古マンション等,勝どき,37000000.0,3488571.0,35.0,1057142.0,平成20年,4.0,2008.0,2012
