種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
中古マンション等,明石町,11000000.0,1815000.0,20.0,550000.0,昭和53年,38.0,1978.0,2016
中古マンション等,明石町,41000000.0,3865714.0,35.0,1171428.0,平成24年,4.0,2012.0,2016
中古マンション等,明石町,49000000.0,3233999.0,50.0,980000.0,平成24年,4.0,2012.0,2016
中古マンション等,明石町,55000000.0,2792307.0,65.0,846153.0,平成11年,17.0,1999.0,2016
中古マンション等,入船,20000000.0,3300000.0,20.0,1000000.0,平成18年,10.0,2006.0,2016
中古マンション等,入船,66000000.0,3111428.0,70.0,942857.0,平成15年,13.0,2003.0,2016
中古マンション等,入船,23000000.0,3795000.0,20.0,1150000.0,平成15年,13.0,2003.0,2016
中古マンション等,入船,62000000.0,2922857.0,70.0,885714.0,平成15年,13.0,2003.0,2016
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成15年,13.0,2003.0,2016
中古マンション等,入船,25000000.0,4125000.0,20.0,1250000.0,平成20年,8.0,2008.0,2016
中古マンション等,入船,16000000.0,1759999.0,30.0,533333.0,昭和60年,31.0,1985.0,2016
中古マンション等,入船,44000000.0,2419999.0,60.0,733333.0,昭和60年,31.0,1985.0,2016
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成15年,13.0,2003.0,2016
中古マンション等,入船,18000000.0,2970000.0,20.0,900000.0,平成15年,13.0,2003.0,2016
中古マンション等,入船,22000000.0,3630000.0,20.0,1100000.0,平成14年,14.0,2002.0,2016
中古マンション等,入船,12000000.0,2639999.0,15.0,800000.0,昭和60年,31.0,1985.0,2016
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成18年,10.0,2006.0,2016
中古マンション等,入船,22000000.0,3630000.0,20.0,1100000.0,平成15年,13.0,2003.0,2016
中古マンション等,入船,28000000.0,3079999.0,30.0,933333.0,平成10年,18.0,1998.0,2016
中古マンション等,入船,54000000.0,2545714.0,70.0,771428.0,平成16年,12.0,2004.0,2016
中古マンション等,入船,22000000.0,3630000.0,20.0,1100000.0,平成12年,16.0,2000.0,2016
中古マンション等,入船,21000000.0,3465000.0,20.0,1050000.0,平成12年,16.0,2000.0,2016
