,種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
2097,中古マンション等,佃,89000000.0,2936999.0,100.0,890000.0,平成5年,17.0,1993.0,2010.0
2103,中古マンション等,佃,120000000.0,4399999.0,90.0,1333333.0,平成11年,11.0,1999.0,2010.0
2087,中古マンション等,佃,15000000.0,989999.0,50.0,300000.0,昭和48年,37.0,1973.0,2010.0
6230,中古マンション等,佃,98000000.0,2939999.0,110.0,890909.0,平成5年,24.0,1993.0,2017.0
6228,中古マンション等,佃,42000000.0,3465000.0,40.0,1050000.0,平成23年,6.0,2011.0,2017.0
2089,中古マンション等,佃,88000000.0,3871999.0,75.0,1173333.0,平成11年,11.0,1999.0,2010.0
2090,中古マンション等,佃,30000000.0,1979999.0,50.0,600000.0,平成18年,4.0,2006.0,2010.0
2091,中古マンション等,佃,95000000.0,3688235.0,85.0,1117647.0,平成11年,11.0,1999.0,2010.0
2092,中古マンション等,佃,110000000.0,4270588.0,85.0,1294117.0,平成11年,11.0,1999.0,2010.0
2093,中古マンション等,佃,38000000.0,2089999.0,60.0,633333.0,平成9年,13.0,1997.0,2010.0
2094,中古マンション等,佃,77000000.0,3176250.0,80.0,962500.0,平成16年,6.0,2004.0,2010.0
6229,中古マンション等,佃,65000000.0,3574999.0,60.0,1083333.0,平成16年,13.0,2004.0,2017.0
2104,中古マンション等,佃,59000000.0,2995384.0,65.0,907692.0,平成17年,5.0,2005.0,2010.0
6222,中古マンション等,佃,88000000.0,3871999.0,75.0,1173333.0,平成11年,18.0,1999.0,2017.0
6223,中古マンション等,佃,21000000.0,3465000.0,20.0,1050000.0,平成15年,14.0,2003.0,2017.0
6224,中古マンション等,佃,64000000.0,3519999.0,60.0,1066666.0,平成11年,18.0,1999.0,2017.0
6225,中古マンション等,佃,45000000.0,3299999.0,45.0,1000000.0,平成23年,6.0,2011.0,2017.0
6226,中古マンション等,佃,32000000.0,2111999.0,50.0,640000.0,平成8年,21.0,1996.0,2017.0
6227,中古マンション等,佃,49000000.0,3233999.0,50.0,980000.0,平成14年,15.0,2002.0,2017.0
6221,中古マンション等,佃,60000000.0,2828571.0,70.0,857142.0,平成22年,7.0,2010.0,2017.0
6243,中古マンション等,佃,70000000.0,3849999.0,60.0,1166666.0,平成11年,18.0,1999.0,2017.0
6244,中古マンション等,佃,40000000.0,3771428.0,35.0,1142857.0,平成23年,6.0,2011.0,2017.0
6245,中古マンション等,佃,62000000.0,2922857.0,70.0,885714.0,平成16年,13.0,2004.0,2017.0
8381,中古マンション等,佃,40000000.0,3771428.0,35.0,1142857.0,平成18年,14.0,2006.0,2020.0
8380,中古マンション等,佃,36000000.0,2375999.0,50.0,720000.0,平成8年,24.0,1996.0,2020.0
8379,中古マンション等,佃,91000000.0,3336666.0,90.0,1011111.0,平成14年,18.0,2002.0,2020.0
8378,中古マンション等,佃,25000000.0,4125000.0,20.0,1250000.0,平成16年,16.0,2004.0,2020.0
8377,中古マンション等,佃,190000000.0,4045161.0,155.0,1225806.0,平成3年,29.0,1991.0,2020.0
6255,中古マンション等,佃,27000000.0,3563999.0,25.0,1080000.0,平成23年,6.0,2011.0,2017.0
8376,中古マンション等,佃,46000000.0,3795000.0,40.0,1150000.0,平成23年,9.0,2011.0,2020.0
6254,中古マンション等,佃,43000000.0,4054285.0,35.0,1228571.0,平成23年,6.0,2011.0,2017.0
6925,中古マンション等,佃,88000000.0,4148571.0,70.0,1257142.0,平成11年,19.0,1999.0,2018.0
